antenna,location,orientation,date_time,call,channel,virtual,frequency,power,noise,snr
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:33:10.445305,K35OU-D     ,35,35,596.31,45.5990525574202,44.58966537021601,1.0093871872041902
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:33:14.389895,KUVE-CD     ,36,38,602.31,51.787569208464106,50.96566276800094,0.8219064404631666
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:34:35.271419,KGUN-TV     ,9,9,186.31,58.43376654110794,51.0251263262967,7.408640214811243
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:34:39.231706,KOLD-TV     ,13,13,210.31,59.186366890520674,51.55051609226592,7.635850798254751
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:34:43.204826,KUDF-LP     ,14,14,470.31,40.08487341026846,33.090633189613186,6.994240220655271
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:34:47.137109,KUDF-LD     ,14,14,470.31,39.98973964449959,33.090079030504704,6.8996606139948895
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:34:51.049367,KHRR        ,16,40,482.31,53.92667407233394,53.86923822098534,0.0574358513486004
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:34:55.003624,KFTU-CD     ,18,34,494.31,32.49016966243156,29.490997060781304,2.9991726016502582
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:34:58.959274,KTTU        ,19,18,500.31,39.14356260162619,31.237703266013803,7.905859335612391
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:35:02.869746,KTTU        ,19,18,500.31,40.32837626673198,31.39630285915989,8.932073407572087
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:35:06.894191,KVOA        ,23,4,524.31,32.25167144829686,29.466572089397715,2.7850993588991457
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:35:10.930059,KMSB        ,25,11,536.31,33.073200494949866,26.44250499077386,6.630695504176007
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:35:14.932086,KUAS-TV     ,28,27,554.31,53.704577713474144,50.24609368008928,3.4584840333848703
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:35:18.868460,KPCE-LD     ,29,29,560.31,47.13372924166086,42.421652168430455,4.712077073230404
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:35:22.844479,KUAT-TV     ,30,6,566.31,48.989873433757005,46.63568147702348,2.3541919567335228
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:35:26.878338,KOLD-TV     ,32,13,578.31,45.03897829149916,39.5516498093228,5.487328482176352
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:35:30.831918,K35OU-D     ,35,35,596.31,40.31594713825437,39.217439746291056,1.0985073919633166
Philips Rabbit Ears,white desk,up-w-out-flat,2025-02-23 13:35:34.834676,KUVE-CD     ,36,38,602.31,50.9990758428725,50.070130999119336,0.9289448437531648
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:37:36.198527,KGUN-TV     ,9,9,186.31,58.45979867335664,51.33756228775942,7.122236385597226
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:37:40.084708,KOLD-TV     ,13,13,210.31,58.730390224304,51.77047679504549,6.959913429258513
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:37:44.042287,KUDF-LP     ,14,14,470.31,37.6617711313431,31.635470227861816,6.026300903481285
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:37:47.995675,KUDF-LD     ,14,14,470.31,35.98618379114979,29.469308587600032,6.516875203549759
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:37:51.886144,KHRR        ,16,40,482.31,54.46414886739198,54.69691618599501,-0.232767318603031
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:37:55.889083,KFTU-CD     ,18,34,494.31,29.515887812069487,30.80478662415665,-1.2888988120871687
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:37:59.813361,KTTU        ,19,18,500.31,33.78332037250132,32.983969892608854,0.7993504798924675
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:38:03.708474,KTTU        ,19,18,500.31,33.06398279251706,33.83937075878115,-0.7753879662640912
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:38:07.643560,KVOA        ,23,4,524.31,45.91919045758148,44.249906959522335,1.6692834980591442
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:38:11.626068,KMSB        ,25,11,536.31,48.12276318676183,41.195663205566426,6.927099981195404
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:38:15.565229,KUAS-TV     ,28,27,554.31,54.88629712212295,50.20573908003415,4.680558042088798
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:38:19.491315,KPCE-LD     ,29,29,560.31,53.78404268602112,49.66445746523063,4.119585220790498
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:38:23.469786,KUAT-TV     ,30,6,566.31,51.05554186488863,49.47043121295712,1.585110651931508
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:38:27.432110,KOLD-TV     ,32,13,578.31,46.17862076396781,42.187757316613066,3.990863447354741
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:38:31.349057,K35OU-D     ,35,35,596.31,43.94333415389087,42.87467385980876,1.0686602940821146
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-23 13:38:35.303713,KUVE-CD     ,36,38,602.31,51.617214309161646,50.97819690835536,0.6390174008062885
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:22:26.190463,KGUN-TV     ,9,9,186.31,58.26228204373035,51.37831841578833,6.883963627942023
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:22:30.065569,KOLD-TV     ,13,13,210.31,58.04836120949479,51.32858092549244,6.719780284002347
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:22:34.084960,KUDF-LP     ,14,14,470.31,36.33259754319533,30.93384188380448,5.398755659390854
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:22:38.009961,KUDF-LD     ,14,14,470.31,35.64087625707298,30.391954329023022,5.248921928049956
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:22:41.984294,KHRR        ,16,40,482.31,54.87733640684768,55.060256659254414,-0.1829202524067383
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:22:45.910809,KFTU-CD     ,18,34,494.31,32.4161849369613,31.982149888217936,0.4340350487433646
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:22:49.854591,KTTU        ,19,18,500.31,40.228079810202544,32.0781913005458,8.149888509656748
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:22:53.788301,KTTU        ,19,18,500.31,40.71611713856623,31.672711863633083,9.04340527493315
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:22:57.776226,KVOA        ,23,4,524.31,46.20492377123721,47.04598723486083,-0.8410634636236196
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:23:01.689960,KMSB        ,25,11,536.31,48.6762296908467,38.33507882232002,10.341150868526675
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:23:05.655486,KUAS-TV     ,28,27,554.31,53.29302861966844,51.97145428624816,1.32157433342028
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:23:09.661902,KPCE-LD     ,29,29,560.31,53.36964476719244,49.349363166066965,4.020281601125475
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:23:13.592913,KUAT-TV     ,30,6,566.31,51.331124461101055,49.08210458216893,2.249019878932124
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:23:17.546843,KOLD-TV     ,32,13,578.31,47.607018385221465,42.73321660220267,4.873801783018799
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:23:21.566763,K35OU-D     ,35,35,596.31,44.700489168995816,43.02443414119951,1.676055027796309
Philips Rabbit Ears,white desk,up-w-out-45,2025-02-24 09:23:25.518047,KUVE-CD     ,36,38,602.31,50.69624821599874,50.70038235135552,-0.0041341353567716
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:31:58.447592,KGUN-TV     ,9,9,186.31,57.70050555630949,51.1965253721636,6.503980184145895
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:32:02.395328,KOLD-TV     ,13,13,210.31,57.50994214413659,51.34900854028077,6.160933603855817
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:32:06.331053,KUDF-LP     ,14,14,470.31,29.27531011098563,26.15059387809168,3.1247162328939524
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:32:10.308664,KUDF-LD     ,14,14,470.31,29.140758681500035,26.12591784983971,3.014840831660326
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:32:14.247485,KHRR        ,16,40,482.31,54.0980207905845,54.1285706787789,-0.0305498881944004
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:32:18.198854,KFTU-CD     ,18,34,494.31,32.94902510388323,31.40178536553426,1.5472397383489709
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:32:22.103144,KTTU        ,19,18,500.31,42.39211464596554,35.422409423195454,6.969705222770088
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:32:25.994391,KTTU        ,19,18,500.31,42.01671724468115,35.05041693715843,6.966300307522722
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:32:29.884632,KVOA        ,23,4,524.31,43.728883136400114,42.51858702645721,1.2102961099429024
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:32:33.781213,KMSB        ,25,11,536.31,49.33243041945901,40.00944965903848,9.322980760420528
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:32:37.633604,KUAS-TV     ,28,27,554.31,53.700548644885295,50.73679132635578,2.9637573185295167
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:32:41.507881,KPCE-LD     ,29,29,560.31,54.56291765728479,48.24753830210096,6.315379355183822
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:32:45.365467,KUAT-TV     ,30,6,566.31,52.158067950799705,50.0476152636874,2.110452687112307
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:32:49.218580,KOLD-TV     ,32,13,578.31,49.50481242317744,44.80385461645925,4.700957806718186
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:32:53.083389,K35OU-D     ,35,35,596.31,44.44510096619213,42.281748388148685,2.163352578043444
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 06:32:57.032840,KUVE-CD     ,36,38,602.31,47.16427467027639,47.78684252402739,-0.6225678537510007
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:19:56.015538,KGUN-TV     ,9,9,186.31,56.78700375435899,51.460161296015904,5.326842458343087
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:20:00.018947,KOLD-TV     ,13,13,210.31,56.92168402606286,51.44271913752888,5.478964888533987
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:20:04.007217,KUDF-LP     ,14,14,470.31,31.73635287367393,26.721081096804465,5.015271776869465
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:20:08.022956,KUDF-LD     ,14,14,470.31,32.18335103002345,26.64978973555038,5.533561294473071
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:20:12.046370,KHRR        ,16,40,482.31,54.49653000093447,53.83303012752718,0.6634998734072894
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:20:16.059237,KFTU-CD     ,18,34,494.31,34.39243262675238,32.810509833112,1.5819227936403806
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:20:20.041225,KTTU        ,19,18,500.31,40.8820694722324,37.28370367934566,3.5983657928867387
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:20:24.078716,KTTU        ,19,18,500.31,40.67478040319028,37.00912466752913,3.665655735661147
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:20:28.136843,KVOA        ,23,4,524.31,45.4106313686766,44.35179150454484,1.0588398641317625
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:20:32.165994,KMSB        ,25,11,536.31,48.40058008611184,40.23809104766263,8.162489038449216
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:20:36.208548,KUAS-TV     ,28,27,554.31,52.495169937061306,50.5673137223315,1.9278562147298075
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:20:40.211347,KPCE-LD     ,29,29,560.31,54.03344622464961,48.24972698991861,5.783719234731002
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:20:44.258183,KUAT-TV     ,30,6,566.31,51.294671508629925,50.34025242802576,0.9544190806041613
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:20:48.266103,KOLD-TV     ,32,13,578.31,51.47364839793248,46.08738987737309,5.386258520559387
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:20:52.229582,K35OU-D     ,35,35,596.31,44.10850874101006,42.90967155813816,1.1988371828718982
Philips Rabbit Ears,white desk,up-w-out-45,2025-03-02 07:20:56.229579,KUVE-CD     ,36,38,602.31,50.4768807157954,51.2268339552208,-0.7499532394253947
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:40:50.838687,KGUN-TV     ,9,9,186.31,57.52689648466082,50.89447545505415,6.632421029606675
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:40:54.837757,KOLD-TV     ,13,13,210.31,58.77936951241027,51.13594404060099,7.64342547180928
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:40:58.868588,KUDF-LP     ,14,14,470.31,48.82957350091466,42.47197108090124,6.357602420013421
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:41:02.935516,KUDF-LD     ,14,14,470.31,48.4250025144113,42.418716803228826,6.006285711182471
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:41:07.005600,KHRR        ,16,40,482.31,54.135048954676485,54.43662797677639,-0.3015790220999079
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:41:11.009266,KFTU-CD     ,18,34,494.31,39.57380052086111,39.758978273846026,-0.1851777529849201
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:41:14.933726,KTTU        ,19,18,500.31,52.0061467647829,49.01095003222712,2.995196732555776
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:41:19.006083,KTTU        ,19,18,500.31,52.06165142968247,49.1021331092342,2.959518320448268
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:41:23.012830,KVOA        ,23,4,524.31,42.31118434710736,35.41386041977045,6.897323927336913
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:41:26.952202,KMSB        ,25,11,536.31,46.69415728924868,41.67898999912855,5.015167290120132
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:41:30.988241,KUAS-TV     ,28,27,554.31,53.27496774438769,51.13918699123247,2.135780753155217
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:41:35.018039,KPCE-LD     ,29,29,560.31,47.011429454432566,43.210038690455264,3.8013907639773024
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:41:39.033232,KUAT-TV     ,30,6,566.31,50.306652374104814,49.28991929826719,1.016733075837621
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:41:43.066693,KOLD-TV     ,32,13,578.31,50.2050878550556,45.57519995907097,4.629887895984631
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:41:47.055065,K35OU-D     ,35,35,596.31,46.85081355473723,45.39341690625638,1.4573966484808525
Philips Rabbit Ears,white desk,e-out-45,2025-03-02 07:41:51.146514,KUVE-CD     ,36,38,602.31,48.17927724543152,47.48677306586257,0.6925041795689424
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:43:05.934149,KGUN-TV     ,9,9,186.31,58.43430747270563,51.70059963492605,6.733707837779583
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:43:10.003467,KOLD-TV     ,13,13,210.31,57.28244262523233,49.944109366996415,7.338333258235913
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:43:14.078726,KUDF-LP     ,14,14,470.31,37.576479159501694,33.783336615571564,3.7931425439301294
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:43:18.097582,KUDF-LD     ,14,14,470.31,36.53700036118622,33.65483175483506,2.882168606351165
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:43:22.110519,KHRR        ,16,40,482.31,55.17958600535211,56.19092428598661,-1.0113382806345044
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:43:26.126975,KFTU-CD     ,18,34,494.31,43.4736156946174,42.82160290519163,0.6520127894257683
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:43:30.198634,KTTU        ,19,18,500.31,47.70699180114191,39.89101874591823,7.815973055223679
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:43:34.181929,KTTU        ,19,18,500.31,47.44972303961829,39.68290109376817,7.766821945850118
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:43:38.212772,KVOA        ,23,4,524.31,45.30031708809805,41.7963115250704,3.504005563027647
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:43:42.235699,KMSB        ,25,11,536.31,52.48541720042351,43.47924837528572,9.006168825137792
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:43:46.268639,KUAS-TV     ,28,27,554.31,53.69152895250741,51.023861406213015,2.667667546294389
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:43:50.344576,KPCE-LD     ,29,29,560.31,46.464525344314765,42.562467789028894,3.902057555285872
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:43:54.357215,KUAT-TV     ,30,6,566.31,51.82447633579427,49.8450409600932,1.9794353757010723
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:43:58.415548,KOLD-TV     ,32,13,578.31,36.48191002316056,34.812811977385955,1.6690980457746036
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:44:02.417015,K35OU-D     ,35,35,596.31,36.26491122081746,35.4645545003156,0.8003567205018598
Philips Rabbit Ears,white desk,s-out-45,2025-03-02 07:44:06.456516,KUVE-CD     ,36,38,602.31,50.40243680787167,49.82646016786899,0.5759766400026862
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:45:05.325501,KGUN-TV     ,9,9,186.31,58.42372516539103,51.31136701755277,7.112358147838265
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:45:09.407505,KOLD-TV     ,13,13,210.31,57.10939305814029,49.52896823767522,7.580424820465069
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:45:13.431907,KUDF-LP     ,14,14,470.31,34.315365687121684,29.999220909846475,4.316144777275209
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:45:17.451535,KUDF-LD     ,14,14,470.31,34.70628888789456,30.2745715028888,4.431717385005758
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:45:21.449378,KHRR        ,16,40,482.31,54.52800278425296,54.846267655796304,-0.3182648715433416
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:45:25.488456,KFTU-CD     ,18,34,494.31,31.301839030506084,29.272201733849947,2.029637296656137
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:45:29.588780,KTTU        ,19,18,500.31,38.62328226946026,30.00239581623732,8.620886453222944
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:45:33.701172,KTTU        ,19,18,500.31,39.5782515428444,30.07909671419319,9.499154828651209
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:45:37.746305,KVOA        ,23,4,524.31,35.35761244682904,35.44902309874881,-0.091410651919773
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:45:41.703941,KMSB        ,25,11,536.31,49.325306784866655,39.68194183032407,9.643364954542584
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:45:45.546823,KUAS-TV     ,28,27,554.31,53.10229275010422,50.7646350353797,2.337657714724521
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:45:49.450848,KPCE-LD     ,29,29,560.31,50.38159808984908,44.10042696783847,6.281171122010605
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:45:53.446948,KUAT-TV     ,30,6,566.31,43.6612202962662,39.528024283844,4.133196012422204
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:45:57.402848,KOLD-TV     ,32,13,578.31,34.75214196602904,28.49803439891868,6.254107567110356
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:46:01.269834,K35OU-D     ,35,35,596.31,28.444296634650826,26.97716807488209,1.467128559768728
Philips Rabbit Ears,white desk,s-out-flat,2025-03-02 07:46:05.154542,KUVE-CD     ,36,38,602.31,50.59713565341559,49.61257925422441,0.9845563991911844
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:15:31.187640,KGUN-TV     ,9,9,186.31,55.84400015469172,49.911263442502566,5.932736712189154
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:15:35.192025,KOLD-TV     ,13,13,210.31,57.07467170421036,49.908284746882906,7.166386957327454
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:15:39.214847,KUDF-LP     ,14,14,470.31,30.14081842961926,27.80348280914644,2.337335620472817
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:15:43.203509,KUDF-LD     ,14,14,470.31,29.54188043529863,27.865653450859405,1.676226984439225
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:15:47.211868,KHRR        ,16,40,482.31,52.09143005716912,51.64806950782702,0.4433605493421026
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:15:51.222437,KFTU-CD     ,18,34,494.31,28.360476509155284,25.9541591939752,2.406317315180086
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:15:55.244139,KTTU        ,19,18,500.31,34.189854740719326,33.319806573019726,0.8700481676996006
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:15:59.290162,KTTU        ,19,18,500.31,34.44718543669663,33.28658505092518,1.1606003857714455
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:03.359288,KVOA        ,23,4,524.31,37.00830083120579,36.27666736414176,0.7316334670640288
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:07.369947,KMSB        ,25,11,536.31,45.53387676530224,34.77566208518048,10.75821468012176
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:11.345751,KUAS-TV     ,28,27,554.31,52.648239885843246,50.16601353534427,2.4822263504989763
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:15.205702,KPCE-LD     ,29,29,560.31,43.1046227861951,39.33937194897971,3.7652508372153903
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:19.105508,KUAT-TV     ,30,6,566.31,49.56629906990152,48.24199693184928,1.3243021380522393
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:23.123065,KOLD-TV     ,32,13,578.31,41.52255850743421,35.83211009786447,5.69044840956974
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:27.090989,K35OU-D     ,35,35,596.31,40.95540473520288,39.18315418175605,1.772250553446824
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:31.060115,KUVE-CD     ,36,38,602.31,45.82763404985055,43.90917055196682,1.918463497883728
CheapoFlat,white desk,up-w,2025-03-02 08:26:51.518480,KGUN-TV     ,9,9,186.31,57.66002110397984,51.27086642278505,6.389154681194796
CheapoFlat,white desk,up-w,2025-03-02 08:26:55.553626,KOLD-TV     ,13,13,210.31,48.91929104595017,47.199990141075546,1.719300904874622
CheapoFlat,white desk,up-w,2025-03-02 08:26:59.522358,KUDF-LP     ,14,14,470.31,34.29464297945286,32.23000263482627,2.0646403446265893
CheapoFlat,white desk,up-w,2025-03-02 08:27:03.577611,KUDF-LD     ,14,14,470.31,31.64813902977064,27.416160714271,4.231978315499642
CheapoFlat,white desk,up-w,2025-03-02 08:27:07.599641,KHRR        ,16,40,482.31,52.11730394410665,50.70791365078934,1.4093902933173157
CheapoFlat,white desk,up-w,2025-03-02 08:27:11.640955,KFTU-CD     ,18,34,494.31,40.26500929814301,38.16394127175825,2.101068026384766
CheapoFlat,white desk,up-w,2025-03-02 08:27:15.676747,KTTU        ,19,18,500.31,45.24848143328096,37.82677853059901,7.42170290268195
CheapoFlat,white desk,up-w,2025-03-02 08:27:19.722275,KTTU        ,19,18,500.31,44.79198819974423,37.78517543501944,7.006812764724785
CheapoFlat,white desk,up-w,2025-03-02 08:27:23.755945,KVOA        ,23,4,524.31,49.466758162597415,46.62972877055309,2.8370293920443217
CheapoFlat,white desk,up-w,2025-03-02 08:27:27.798239,KMSB        ,25,11,536.31,50.99254276255069,41.76038069637875,9.23216206617193
CheapoFlat,white desk,up-w,2025-03-02 08:27:31.869723,KUAS-TV     ,28,27,554.31,53.47731521309328,50.77469918379571,2.702616029297566
CheapoFlat,white desk,up-w,2025-03-02 08:27:35.950046,KPCE-LD     ,29,29,560.31,46.36956322161203,42.17686396651753,4.192699255094503
CheapoFlat,white desk,up-w,2025-03-02 08:27:40.030607,KUAT-TV     ,30,6,566.31,51.194538543729976,50.29378203295583,0.9007565107741442
